tweet_id,tweet_text,topic,relevant
152,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
169,Plastic-free choices can help create a healthier planet. #SaveThePlanet,plastic,1
168,Bike-friendly cities can encourage cleaner transportation choices.,transport,1
92,Cleaner beaches can help protect coastal wildlife.,ocean,1
233,The birthday party was a lot of fun.,unrelated,0
217,Every community can contribute to climate action. #SaveThePlanet,climate,1
222,My favorite team won the match today.,unrelated,0
28,Communities can protect nature by preserving green spaces. #SaveThePlanet,nature,1
118,Protecting the climate requires long-term sustainable choices.,climate,1
81,Environmental responsibility should be part of everyday life.,environment,1
218,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
206,Marine ecosystems need protection from plastic and chemical pollution.,ocean,1
184,Every piece of plastic we avoid can make a difference. #SaveThePlanet,plastic,1
241,The train arrived earlier than expected.,unrelated,0
204,Protecting marine habitats helps preserve biodiversity.,ocean,1
226,The concert last night was absolutely amazing.,unrelated,0
101,Clean seas are important for a healthy planet. #SaveThePlanet,ocean,1
72,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
141,Healthy oceans support biodiversity and human communities. #SaveThePlanet,ocean,1
150,Reusing and recycling materials can reduce unnecessary waste. #SaveThePlanet,recycling,1
219,Nature conservation benefits both wildlife and people. #SaveThePlanet,nature,1
158,Choosing sustainable transportation can lower our carbon footprint. #SaveThePlanet,transport,1
139,A transition to clean energy can benefit the environment. #SaveThePlanet,renewable_energy,1
13,Protecting oceans is essential for marine ecosystems. #SaveThePlanet,ocean,1
131,Recycling helps keep useful materials in circulation. #SaveThePlanet,recycling,1
34,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
167,Working together can create a cleaner and greener future. #SaveThePlanet,environment,1
38,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
200,Planting trees can support biodiversity and improve local ecosystems.,nature,1
50,Clean power technologies can help reduce carbon emissions.,renewable_energy,1
44,Renewable sources such as solar and wind can support energy sustainability.,renewable_energy,1
91,Reducing greenhouse gas emissions can help slow climate change. #SaveThePlanet,climate,1
213,Sorting household waste makes recycling more effective. #SaveThePlanet,recycling,1
209,Using buses and trains can reduce the number of cars on the road. #SaveThePlanet,transport,1
102,Say no to single-use plastics and choose reusable alternatives. #SaveThePlanet,plastic,1
181,Sustainable transportation can make cities cleaner and healthier.,transport,1
10,Clean energy is an important part of a sustainable future.,renewable_energy,1
40,Walking instead of driving can reduce unnecessary carbon emissions. #SaveThePlanet,transport,1
136,Using buses and trains can reduce the number of cars on the road. #SaveThePlanet,transport,1
183,Protecting the planet requires action from everyone. #SaveThePlanet,environment,1
192,Small climate-friendly actions can create meaningful change. #SaveThePlanet,climate,1
237,The traffic was terrible this morning.,unrelated,0
235,The weather was perfect for a morning walk.,unrelated,0
49,Fighting global warming requires cooperation across countries.,climate,1
